Date,Open,High,Low,Close,Adj Close,Volume,Name
2020-07-01,365.119995,367.359985,363.910004,364.109985,364.109985,27684300,AAPL
2020-07-02,367.850006,370.470001,363.640015,364.109985,364.109985,28510400,AAPL
2020-07-06,370,375.779999,369.869995,373.850006,373.850006,29663900,AAPL
2020-07-07,375.410004,378.619995,372.230011,372.690002,372.690002,28106100,AAPL
2020-07-08,376.720001,381.5,376.359985,381.369995,381.369995,29273000,AAPL
2020-07-09,385.049988,385.269989,378.690002,383.01001,383.01001,31410700,AAPL
2020-07-10,381.339996,383.920013,378.820007,383.679993,383.679993,22564300,AAPL
2020-07-13,389.059998,399.820007,381.029999,381.910004,381.910004,47912300,AAPL
2020-07-14,379.359985,389.019989,375.51001,388.230011,388.230011,42747300,AAPL
2020-07-15,395.959991,396.98999,385.959991,390.899994,390.899994,38299500,AAPL
2020-07-16,386.25,389.619995,383.619995,386.089996,386.089996,27644400,AAPL
2020-07-17,387.950012,388.589996,383.359985,385.309998,385.309998,23046700,AAPL
2020-07-20,385.670013,394,384.25,393.429993,393.429993,22579500,AAPL
2020-07-21,396.690002,397,386.970001,388,388,25911500,AAPL
2020-07-22,386.769989,391.899994,386.410004,389.089996,389.089996,22250400,AAPL
2020-07-23,387.98999,388.309998,368.040009,371.380005,371.380005,49251100,AAPL
2020-07-24,363.950012,371.880005,356.579987,370.459991,370.459991,46359700,AAPL
2020-07-27,374.839996,379.619995,373.920013,379.23999,379.23999,30303500,AAPL
2020-07-28,377.470001,378.200012,372.98999,373.01001,373.01001,25906400,AAPL
2020-07-29,375,380.920013,374.850006,380.160004,380.160004,22582300,AAPL
2020-07-30,376.75,385.190002,375.070007,384.76001,384.76001,39532500,AAPL
