Date,Open,High,Low,Close,Adj Close,Volume,Name
2020-05-01,286.25,299,285.850006,289.070007,288.289612,60154200,AAPL
2020-05-04,289.170013,293.690002,286.320007,293.160004,292.368561,33392000,AAPL
2020-05-05,295.059998,301,294.459991,297.559998,296.756683,36937800,AAPL
2020-05-06,300.459991,303.23999,298.869995,300.630005,299.81839,35583400,AAPL
2020-05-07,303.220001,305.170013,301.970001,303.73999,302.919983,28803800,AAPL
2020-05-08,305.640015,310.350006,304.290009,310.130005,310.130005,33512000,AAPL
2020-05-11,308.100006,317.049988,307.23999,315.01001,315.01001,36486600,AAPL
2020-05-12,317.829987,319.690002,310.910004,311.410004,311.410004,40575300,AAPL
2020-05-13,312.149994,315.950012,303.209991,307.649994,307.649994,50155600,AAPL
2020-05-14,304.51001,309.790009,301.529999,309.540009,309.540009,39732300,AAPL
2020-05-15,300.350006,307.899994,300.209991,307.709991,307.709991,41587100,AAPL
2020-05-18,313.170013,316.5,310.320007,314.959991,314.959991,33843100,AAPL
2020-05-19,315.029999,318.519989,313.01001,313.140015,313.140015,25432400,AAPL
2020-05-20,316.679993,319.519989,316.519989,319.230011,319.230011,27876200,AAPL
2020-05-21,318.660004,320.890015,315.869995,316.850006,316.850006,25672200,AAPL
2020-05-22,315.769989,319.230011,315.350006,318.890015,318.890015,20450800,AAPL
2020-05-26,323.5,324.23999,316.5,316.730011,316.730011,31380500,AAPL
2020-05-27,316.140015,318.709991,313.089996,318.109985,318.109985,28236300,AAPL
2020-05-28,316.769989,323.440002,315.630005,318.25,318.25,33390200,AAPL
2020-05-29,319.25,321.149994,316.470001,317.940002,317.940002,38399500,AAPL
